source,target,relation
https://ontology.tesseract.academy/modip/object/b2a454ee-a6e2-3b0d-a260-d2927111a6a9,https://ontology.tesseract.academy/modip/object/37ccc18b-9145-3cac-8519-e70a76639580,P67_refers_to
https://ontology.tesseract.academy/modip/object/37ccc18b-9145-3cac-8519-e70a76639580,https://ontology.tesseract.academy/modip/object/b2a454ee-a6e2-3b0d-a260-d2927111a6a9,P67_refers_to
https://ontology.tesseract.academy/modip/object/fe212569-6e45-3b10-b37e-3e56658c9b25,https://ontology.tesseract.academy/modip/object/53070e46-657e-30f4-b6a0-47ca07683f1b,P67_refers_to
https://ontology.tesseract.academy/modip/object/53070e46-657e-30f4-b6a0-47ca07683f1b,https://ontology.tesseract.academy/modip/object/fe212569-6e45-3b10-b37e-3e56658c9b25,P67_refers_to
https://ontology.tesseract.academy/modip/object/596d1086-6e51-3078-9deb-908b714f5e50,https://ontology.tesseract.academy/modip/object/e89e657c-7251-3807-b462-7f814600b700,P67_refers_to
https://ontology.tesseract.academy/modip/object/4e5aa917-5dbc-3dd7-bfe6-3d11bfdb7d30,https://ontology.tesseract.academy/modip/object/a28164fa-3f1e-3d4e-a692-d76bed910c7f,P67_refers_to
https://ontology.tesseract.academy/modip/object/a28164fa-3f1e-3d4e-a692-d76bed910c7f,https://ontology.tesseract.academy/modip/object/4e5aa917-5dbc-3dd7-bfe6-3d11bfdb7d30,P67_refers_to
https://ontology.tesseract.academy/modip/object/ccdbf2f8-e1de-377b-a339-c19057f27628,https://ontology.tesseract.academy/modip/object/941e62ed-12af-3a72-890d-d3c91b5bafb2,P67_refers_to
https://ontology.tesseract.academy/modip/object/ec4562fd-b25f-3b7b-b419-10c6216f01e2,https://ontology.tesseract.academy/modip/object/fe952305-3285-3074-82fe-b8fa176feb6b,P67_refers_to
https://ontology.tesseract.academy/modip/object/4542a19c-2060-3932-9ed8-a692428059ff,https://ontology.tesseract.academy/modip/object/ddd5c1dc-9f36-380a-9b06-0753902b10e4,P130_shows_features_of
https://ontology.tesseract.academy/modip/object/ddd5c1dc-9f36-380a-9b06-0753902b10e4,https://ontology.tesseract.academy/modip/object/4542a19c-2060-3932-9ed8-a692428059ff,P130_shows_features_of
https://ontology.tesseract.academy/modip/object/2eb65d12-28b2-3fd7-90bf-35da0605411a,https://ontology.tesseract.academy/modip/object/787ff31d-f65f-3326-8d99-ce095d461df8,P130_shows_features_of
https://ontology.tesseract.academy/modip/object/2eb65d12-28b2-3fd7-90bf-35da0605411a,https://ontology.tesseract.academy/modip/object/1900affc-d85c-3d41-ad56-11bcc7c02b5f,P130_shows_features_of
https://ontology.tesseract.academy/modip/object/cb2438c8-8816-3741-8792-a41a5d29cca3,https://ontology.tesseract.academy/modip/object/2d14f6a7-7686-3d9d-97eb-1e11682ebb38,P67_refers_to
https://ontology.tesseract.academy/modip/object/e1762d69-ee5f-3672-a4c9-a442bb9b7ee2,https://ontology.tesseract.academy/modip/object/53333b30-edb4-322a-9e47-463502ddc259,P67_refers_to
https://ontology.tesseract.academy/modip/object/9576683b-3e7f-39d1-be81-e48500638b0b,https://ontology.tesseract.academy/modip/object/73e46f25-1f88-30c8-b264-1c5565630ab8,P67_refers_to
https://ontology.tesseract.academy/modip/object/73e46f25-1f88-30c8-b264-1c5565630ab8,https://ontology.tesseract.academy/modip/object/9576683b-3e7f-39d1-be81-e48500638b0b,P67_refers_to
https://ontology.tesseract.academy/modip/object/d39440b8-cc96-3ce3-8093-b385c060a610,https://ontology.tesseract.academy/modip/object/bcd63506-0c3e-3510-97e1-30b63de885e6,P67_refers_to
https://ontology.tesseract.academy/modip/object/764cb630-1862-3bf6-bcb4-42c3324d08e8,https://ontology.tesseract.academy/modip/object/7b0f9bae-e6a5-31af-a64d-3cdf11d713b3,P130_shows_features_of
https://ontology.tesseract.academy/modip/object/764cb630-1862-3bf6-bcb4-42c3324d08e8,https://ontology.tesseract.academy/modip/object/4ff8bb92-a7a5-38ad-877e-10e516f2ac29,P130_shows_features_of
https://ontology.tesseract.academy/modip/object/cde435ef-5bd2-3e5d-9f4b-8887669a6c05,https://ontology.tesseract.academy/modip/object/a762317f-52e2-31b8-991f-1d88daf4b097,P67_refers_to
https://ontology.tesseract.academy/modip/object/dba5bcfc-d367-38b5-9d0f-ac6f7ef3b427,https://ontology.tesseract.academy/modip/object/719084db-36c2-3a40-991b-8045db6e4717,P67_refers_to
https://ontology.tesseract.academy/modip/object/719084db-36c2-3a40-991b-8045db6e4717,https://ontology.tesseract.academy/modip/object/dba5bcfc-d367-38b5-9d0f-ac6f7ef3b427,P67_refers_to
https://ontology.tesseract.academy/modip/object/eb33761a-f50c-3fdf-bf54-4e619e970b33,https://ontology.tesseract.academy/modip/object/a1f24262-c80d-35fd-9b21-8ebcd3194a8d,P67_refers_to
https://ontology.tesseract.academy/modip/object/e278d4ef-1d79-3aa4-9d1f-433a04909027,https://ontology.tesseract.academy/modip/object/b7ab5f77-78b8-3b5c-90cb-d0cfeb87d120,P67_refers_to
https://ontology.tesseract.academy/modip/object/a1f24262-c80d-35fd-9b21-8ebcd3194a8d,https://ontology.tesseract.academy/modip/object/eb33761a-f50c-3fdf-bf54-4e619e970b33,P67_refers_to
https://ontology.tesseract.academy/modip/object/e89e657c-7251-3807-b462-7f814600b700,https://ontology.tesseract.academy/modip/object/596d1086-6e51-3078-9deb-908b714f5e50,P67_refers_to
https://ontology.tesseract.academy/modip/object/2e440447-5e96-3553-9167-a1c8ab8dd405,https://ontology.tesseract.academy/modip/object/1fb63541-9120-3509-834a-c53c16cd25f9,P67_refers_to
https://ontology.tesseract.academy/modip/object/347aa47f-6fb5-3f9c-aa30-503e5c67887b,https://ontology.tesseract.academy/modip/object/f641fe4c-a0ad-34e3-a4b9-521febb127d2,P67_refers_to
https://ontology.tesseract.academy/modip/object/9fbacdd5-bc28-3847-a440-4597e08d1fb6,https://ontology.tesseract.academy/modip/object/f641fe4c-a0ad-34e3-a4b9-521febb127d2,P67_refers_to
https://ontology.tesseract.academy/modip/object/331b02f9-884b-33a8-92af-81226630638e,https://ontology.tesseract.academy/modip/object/f641fe4c-a0ad-34e3-a4b9-521febb127d2,P67_refers_to
https://ontology.tesseract.academy/modip/object/9b7fe1d8-aa9d-3fb5-9ea4-543ac6e4118e,https://ontology.tesseract.academy/modip/object/b9337763-76a2-37c8-b824-419bcf3cae85,P67_refers_to
https://ontology.tesseract.academy/modip/object/9b7fe1d8-aa9d-3fb5-9ea4-543ac6e4118e,https://ontology.tesseract.academy/modip/object/f115884c-00dd-3f49-a662-a8384059cc15,P67_refers_to
https://ontology.tesseract.academy/modip/object/34b167ba-d607-3316-970d-6f297a3d1d90,https://ontology.tesseract.academy/modip/object/e2fe937f-7e97-388d-b6c3-8263e220a0f9,P67_refers_to
https://ontology.tesseract.academy/modip/object/d5217556-f5e9-3b72-b8d0-d3d433cd1b56,https://ontology.tesseract.academy/modip/object/c05ed814-15c7-3bbf-9dde-9b1bb0a11a0a,P67_refers_to
https://ontology.tesseract.academy/modip/object/c05ed814-15c7-3bbf-9dde-9b1bb0a11a0a,https://ontology.tesseract.academy/modip/object/d5217556-f5e9-3b72-b8d0-d3d433cd1b56,P67_refers_to
https://ontology.tesseract.academy/modip/object/99d800a2-b0be-3da5-8696-4fcb8a1eb092,https://ontology.tesseract.academy/modip/object/ad218315-ed9e-3ac7-8f15-c19eb91447a1,P67_refers_to
https://ontology.tesseract.academy/modip/object/99d800a2-b0be-3da5-8696-4fcb8a1eb092,https://ontology.tesseract.academy/modip/object/40cfe156-19bf-3224-afe7-68326c9f9a7a,P67_refers_to
https://ontology.tesseract.academy/modip/object/12cb0f37-3819-345c-8730-ca206830c38a,https://ontology.tesseract.academy/modip/object/ad218315-ed9e-3ac7-8f15-c19eb91447a1,P67_refers_to
https://ontology.tesseract.academy/modip/object/12cb0f37-3819-345c-8730-ca206830c38a,https://ontology.tesseract.academy/modip/object/40cfe156-19bf-3224-afe7-68326c9f9a7a,P67_refers_to
https://ontology.tesseract.academy/modip/object/1eccf49e-84af-3155-8cdc-0d0cf4158668,https://ontology.tesseract.academy/modip/object/a175bbe8-7ac4-3750-93c3-1df4bac83615,P67_refers_to
https://ontology.tesseract.academy/modip/object/3c0458da-7379-3fc9-8c22-c447b053f8ef,https://ontology.tesseract.academy/modip/object/5b14492c-a276-39a3-88a6-9d959d9aff90,P130_shows_features_of
https://ontology.tesseract.academy/modip/object/4b1504e8-0835-3a40-96fd-6aa2e147f3fb,https://ontology.tesseract.academy/modip/object/a567fc4f-34f1-362e-8a2b-45f47e2fe06e,P67_refers_to
https://ontology.tesseract.academy/modip/object/69928fe1-f95f-3a09-9cd4-bcf9f8dda523,https://ontology.tesseract.academy/modip/object/e4df5a78-8e78-3356-b5ce-ee830141daa8,P130_shows_features_of
https://ontology.tesseract.academy/modip/object/a567fc4f-34f1-362e-8a2b-45f47e2fe06e,https://ontology.tesseract.academy/modip/object/4b1504e8-0835-3a40-96fd-6aa2e147f3fb,P67_refers_to
https://ontology.tesseract.academy/modip/object/1029ed16-f35d-3cb0-b623-72119c8ea671,https://ontology.tesseract.academy/modip/object/9995f2f7-3014-3499-9527-05c130e5ab92,P67_refers_to
https://ontology.tesseract.academy/modip/object/1029ed16-f35d-3cb0-b623-72119c8ea671,https://ontology.tesseract.academy/modip/object/285b501f-a4f6-39a0-abc1-0720c970b696,P67_refers_to
